Model #Params: 5110K
/home/fong/anaconda3/envs/test_2018_cuda11.3/lib/python3.7/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
pretrain.py:46: UserWarning: nn.init.xavier_normal is now deprecated in favor of nn.init.xavier_normal_.
  nn.init.xavier_normal(param)
pretrain.py:44: UserWarning: nn.init.constant is now deprecated in favor of nn.init.constant_.
  nn.init.constant(param, 0)
/home/fong/anaconda3/envs/test_2018_cuda11.3/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
KL: 942.5, Word: 89.45, Topo: 98.65, Assm: 90.14, Steo: 100.00
KL: 950.1, Word: 89.45, Topo: 98.42, Assm: 89.91, Steo: 100.00
KL: 926.9, Word: 89.52, Topo: 98.41, Assm: 89.76, Steo: 100.00
KL: 970.5, Word: 89.55, Topo: 98.65, Assm: 90.84, Steo: 100.00
KL: 947.1, Word: 89.03, Topo: 98.37, Assm: 89.73, Steo: 100.00
KL: 891.5, Word: 89.26, Topo: 98.34, Assm: 91.15, Steo: 100.00
KL: 978.2, Word: 89.12, Topo: 98.35, Assm: 90.55, Steo: 100.00
KL: 896.8, Word: 89.34, Topo: 98.50, Assm: 89.85, Steo: 100.00
KL: 891.8, Word: 89.80, Topo: 98.55, Assm: 90.09, Steo: 100.00
KL: 927.2, Word: 89.70, Topo: 98.20, Assm: 90.29, Steo: 100.00
KL: 926.2, Word: 89.66, Topo: 98.38, Assm: 90.98, Steo: 100.00
KL: 879.4, Word: 89.88, Topo: 98.64, Assm: 90.26, Steo: 100.00
KL: 916.1, Word: 88.99, Topo: 98.38, Assm: 90.75, Steo: 100.00
KL: 976.8, Word: 90.06, Topo: 98.55, Assm: 91.67, Steo: 100.00
KL: 915.9, Word: 89.70, Topo: 98.52, Assm: 90.16, Steo: 100.00
KL: 979.7, Word: 89.68, Topo: 98.41, Assm: 91.31, Steo: 100.00
KL: 932.6, Word: 89.98, Topo: 98.49, Assm: 91.22, Steo: 100.00
KL: 1006.4, Word: 89.55, Topo: 98.41, Assm: 90.33, Steo: 100.00
KL: 892.5, Word: 90.26, Topo: 98.40, Assm: 90.63, Steo: 100.00
KL: 945.0, Word: 89.19, Topo: 98.48, Assm: 90.66, Steo: 100.00
KL: 889.0, Word: 89.94, Topo: 98.43, Assm: 89.21, Steo: 100.00
KL: 912.8, Word: 89.62, Topo: 98.43, Assm: 90.90, Steo: 100.00
KL: 1001.7, Word: 89.32, Topo: 98.37, Assm: 89.14, Steo: 100.00
KL: 896.4, Word: 90.45, Topo: 98.49, Assm: 90.34, Steo: 100.00
KL: 914.8, Word: 89.28, Topo: 98.46, Assm: 91.33, Steo: 100.00
KL: 918.6, Word: 89.68, Topo: 98.20, Assm: 91.77, Steo: 100.00
KL: 939.6, Word: 90.36, Topo: 98.42, Assm: 91.82, Steo: 100.00
KL: 922.0, Word: 89.86, Topo: 98.50, Assm: 92.40, Steo: 100.00
KL: 943.9, Word: 89.89, Topo: 98.45, Assm: 91.03, Steo: 99.00
KL: 936.0, Word: 89.24, Topo: 98.44, Assm: 90.27, Steo: 100.00
KL: 948.0, Word: 90.10, Topo: 98.62, Assm: 92.06, Steo: 100.00
